YDR025W
YDR031w
YDR060w
YDR064W
YDR070c
YDR144C
YDR171W
YDR178W
YDR258C
YBL015W
YDR272W
YDR272W
YDR342C
YDR343C
YBL027W
YDR382W
YDR398W
YDR417C
YDR418W
YDR516C
YBL043W
YDR529C
YDR533C
YBL045C
YEL011w
YEL012w
YEL024w
YBL048W
YBL049W
YEL054c
YER024w
YER053c
YER065c
YER067w
YBL064C
YER131w
YER150w
YAL003W
YFL014W
YFL054C
YBL078C
YFR015C
YFR033C
YFR053C
YGL031C
YGL037C
YGL076C
YGL078C
YGL102C
YBL100C
YGL191W
YBL108W
YGL259W
YGR008C
YGR043C
YGR067C
YGR088W
YGR103W
YGR148C
YGR160W
YGR214W
YGR236C
YGR243W
YGR244C
YGR248W
YGR264C
YHL015W
YHL021C
YHL033C
YBR032W
YAL012W
YHR051W
YHR087W
YHR089C
YHR096C
YHR104W
YHR128W
YBR048W
YBR051W
YIL018W
YIL053W
YIL069C
YIL111W
YIL113W
YIL125W
YIL136W
YIL162W
YBR072W
YJL045W
YJL089W
YJL109C
YJL136C
YJL148W
YJL177W
YJL190C
YJR095W
YJR096W
YJR123W
YJR145C
YKL009W
YKL026C
YBR116C
YBR117C
YKL081W
YKL085W
YKL103C
YKL109W
YKL141W
YKL142W
YKL151C
YKL187C
YKL193C
YKL217W
YKR059W
YBR139W
YKR097W
YLL026w
YBR147W
YLL041c
YLL044W
YLL045c
YLR048w
YLR062C
YLR076C
YLR129w
YLR142w
YLR149C
YLR174W
YLR178C
YLR180W
YLR186W
YLR196W
YLR198C
YLR249W
YLR258W
YLR267W
YLR270W
YLR304C
YLR312C
YBR181C
YLR325C
YLR327C
YLR339C
YLR340W
YBR183W
YLR344W
YLR355C
YLR356W
YLR377C
YBR189W
YLR413W
YBR191W
YLR448W
YLR449W
YML054C
YML063W
YML128C
YMR090W
YMR093W
YMR105C
YMR107W
YMR121C
YMR131C
YMR170C
YMR191W
YMR217W
YMR250W
YMR290C
YNL002C
YBR238C
YNL015W
YBR241C
YNL052W
YNL065W
YNL067W
YNL069C
YNL096C
YBR247C
YNL117W
YNL119W
YBR249C
YNL134C
YNL141W
YNL160W
YNL173C
YNL174W
YNL175C
YNL194C
YNL195C
YNL200C
YNL274C
YNL301C
YNL303W
YNL305C
YNR001C
YAL054C
YNR053C
YOL120C
YOL032W
YOL039W
YOL040C
YOL053C
YOL084W
YOR065W
YOR178C
YOR215C
YOR234C
YOR309C
YOR310C
YCL025C
YOR312C
YOR374W
YPL012W
YCL035C
YPL131W
YPL220W
YPL226W
YPR137W
YPR149W
YPR184W
YDL215C
YDR258C
YCR010C
YCR021c
YDL083C
YDL085w
YDL136w
YDL199c
YDL204w
YDL208W
